spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
tvc,0.1561610128152925,0.014431246582311763,0.1278762892619447,0.18444573636864028,5.4382764461991865e-27,31,jensen_full_like,0.1112,0.4732,5000,10000
safe,0.13592188781180342,0.014643105971554798,0.10722192748575263,0.16462184813785422,2.4142738401110092e-20,31,jensen_full_like,0.1112,0.4732,5000,10000
full,0.13089192216333578,0.014626954100708314,0.10222361892242704,0.15956022540424453,4.980250354969058e-19,31,jensen_full_like,0.1112,0.4732,5000,10000
base,0.1293784652265782,0.014414490705642753,0.10112658258803106,0.15763034786512534,3.916859829762566e-19,32,jensen_full_like,0.1112,0.4782,5000,10000
tvc,0.11582508965970663,0.0144065076453941,0.08758885353173326,0.14406132578768,1.114286637151908e-15,32,jensen_full_like,0.1112,0.4782,5000,10000
safe,0.10239828201636902,0.014761455805534673,0.07346636027814138,0.13133020375459667,4.5191161417206536e-12,32,jensen_full_like,0.1112,0.4782,5000,10000
full,0.0949071965111919,0.014723445466096493,0.06604977366930323,0.12376461935308056,1.2565841773599684e-10,32,jensen_full_like,0.1112,0.4782,5000,10000
base,0.12674245518513264,0.014376880218516176,0.0985642877467946,0.15492062262347067,1.6160017823842141e-18,33,jensen_full_like,0.1112,0.4802,5000,10000
tvc,0.11301854011978262,0.014452189100065035,0.08469276998589281,0.14134431025367242,6.389110963551464e-15,33,jensen_full_like,0.1112,0.4802,5000,10000
safe,0.0959649428763914,0.014746789778473986,0.06706176602299899,0.12486811972978382,8.388102427215663e-11,33,jensen_full_like,0.1112,0.4802,5000,10000
full,0.08762367384091405,0.014754521942099388,0.05870534222529328,0.11654200545653481,3.06579035423826e-9,33,jensen_full_like,0.1112,0.4802,5000,10000
base,0.1638123394751329,0.014319155732970688,0.13574730994949014,0.19187736900077568,6.197735077879785e-30,34,jensen_full_like,0.1112,0.4772,5000,10000
tvc,0.15079066155830353,0.014382593049053913,0.12260129717786175,0.17898002593874532,1.8714099514734736e-25,34,jensen_full_like,0.1112,0.4772,5000,10000
