STU_ID	weights_notvc	weights_tvc	weights_all_pscore
122121.0	1.0	1.0	0.9999999999999999
122123.0	1.0	1.0	0.9999999999999999
122126.0	1.0	1.0	1.0
122127.0	1.0		1.0
122128.0	1.0	1.0	1.0
122203.0	1.0	1.0	1.0
122204.0	1.0	1.0	1.0
122205.0	1.0	1.0	0.9999999999999999
122209.0	1.0	1.0	0.9999999999999999
122211.0	1.0	1.0	1.0
122212.0	0.6654061966333252	0.8624693587924139	2.9086591364609804
122213.0	1.0	1.0	1.0
122216.0	1.0	1.0	1.0
122218.0	1.0	1.0	1.0
122219.0	1.0	1.0	1.0
122220.0	1.0	1.0	0.9999999999999999
122224.0	1.0	1.0	1.0
122225.0	1.0	1.0	1.0
122226.0	1.0	1.0	1.0
122227.0	1.0	1.0	1.0
123101.0	1.0	1.0	1.0
123102.0	1.0	1.0	1.0
123106.0	1.0	1.0	1.0
123108.0	1.0	1.0	1.0
123109.0	1.0	1.0	1.0
123110.0	1.0	1.0	1.0
123111.0	1.0	1.0	0.9999999999999999
123113.0	0.13308123932666505		3.2341114992563353
123115.0	1.0	1.0	1.0
123118.0	1.0	1.0	1.0
123120.0	1.0	1.0	1.0
123125.0	0.7984874359599903		7.637346933038275
123128.0	1.0	1.0	0.9999999999999999
123130.0	1.0	1.0	0.9999999999999999
123132.0	1.0	1.0	1.0
123201.0	1.0	1.0	1.0
123206.0	1.0	1.0	1.0
123207.0	1.3308123932666505	1.7249387175848279	10.391083333762648
123208.0	1.0	1.0	1.0
123210.0	1.0		1.0
123212.0	1.0	1.0	1.0
123215.0	1.0	1.0	1.0
123216.0	2.794706025859966	2.587408076377242	16.24628494806452
123220.0	1.0	1.0	0.9999999999999999
123221.0	1.0		0.9999999999999999
123222.0	1.0		1.0
123224.0	1.0	1.0	1.0
123228.0	1.0	1.0	1.0
123229.0	1.0	1.0	1.0
123230.0	1.0	1.0	1.0
123231.0	1.0	1.0	1.0
123232.0	1.0	1.0	1.0
123233.0	1.0	1.0	0.9999999999999999
123234.0	1.0	1.0	1.0
123235.0	1.0	1.0	1.0
123262.0	1.0		1.0
124101.0	1.0	1.0	1.0
124102.0	0.39924371797999514	0.49283963359566507	4.547639897583732
124103.0		0.24641981679783254	1.2005172202528969
124104.0	1.0	1.0	1.0
124105.0	1.0	1.0	1.0
124109.0	0.2661624786533301	0.24641981679783254	3.1522313478484465
124110.0	1.0	1.0	0.9999999999999999
124111.0	1.0	1.0	1.0
124113.0	0.39924371797999514	0.7392594503934976	3.1522313478484465
124114.0	1.0	1.0	1.0
124116.0	1.0	1.0	1.0
124118.0	5.855574530373262	6.776544961940394	38.15983948989048
124119.0	1.0	1.0	1.0
124122.0	1.0	1.0	1.0
124123.0	1.0	1.0	1.0
124124.0	1.0	1.0	1.0
124126.0	1.0	1.0	1.0
124127.0	1.0	1.0	1.0
124128.0	1.0	1.0	1.0
124201.0	1.0	1.0	1.0
124203.0	1.0	1.0	1.0
124204.0	0.7984874359599903	1.2320990839891628	6.705476279705192
124205.0	1.0	1.0	1.0
124206.0	1.0	1.0	1.0
124208.0	0.13308123932666505		2.9842124268785506
124210.0	1.0	1.0	1.0
124213.0	1.0	1.0	1.0
124216.0	1.0	1.0	1.0
124217.0	0.39924371797999514	0.3696297251967488	2.0685296488940534
124218.0	1.0	1.0	1.0
124219.0	0.13308123932666505	0.12320990839891627	1.2005172202528969
124221.0		0.12320990839891627	1.2005172202528969
124225.0	0.13308123932666505		1.2005172202528969
124226.0	1.0	1.0	1.0
124227.0	1.0	1.0	1.0
125102.0	1.0	1.0	1.0
125103.0	1.0	1.0	1.0
125104.0	1.0	1.0	1.0
125105.0	1.0	1.0	1.0
